id_total,id_meta,id_usuario,monto_meta,monto_total,fecha_final_meta,meta_cumplida
1,1,,1500,0,2024-01-01,No
2,2,2,8000,3040.00,2024-01-09,No
3,2,3,8000,1260.00,2024-01-09,No
4,2,4,8000,3780.00,2024-01-09,No
5,2,5,8000,3320.00,2024-01-09,No
6,3,3,3600,2070.00,2024-01-14,No
7,3,4,3600,590.00,2024-01-14,No
8,4,,1800,0,2024-01-15,No
9,5,2,7500,490.00,2024-01-22,No
10,6,3,9500,7980.00,2024-01-30,No
11,6,4,9500,2900.00,2024-01-30,No
12,6,5,9500,1480.00,2024-01-30,No
13,6,6,9500,1580.00,2024-01-30,No
14,7,5,1700,2080.00,2024-01-04,Sí
15,8,3,5000,640.00,2024-01-13,No
16,8,4,5000,1280.00,2024-01-13,No
17,8,5,5000,1240.00,2024-01-13,No
18,9,2,3200,490.00,2024-01-20,No
19,10,,1500,0,2024-01-25,No
20,11,5,9000,1480.00,2024-02-01,No
21,11,6,9000,1580.00,2024-02-01,No
22,11,3,9000,5350.00,2024-02-01,No
23,11,2,9000,6080.00,2024-02-01,No
24,12,4,1900,1280.00,2024-01-08,No
25,12,5,1900,1240.00,2024-01-08,No
26,13,3,7800,2070.00,2024-01-15,No
27,13,4,7800,590.00,2024-01-15,No
28,14,3,8500,7980.00,2024-01-25,No
29,14,4,8500,2900.00,2024-01-25,No
30,15,3,1700,5350.00,2024-01-31,Sí
31,16,2,1200,6080.00,2024-02-01,Sí
32,17,3,5500,3340.00,2024-02-08,No
33,17,4,5500,1920.00,2024-02-08,No
34,17,5,5500,2500.00,2024-02-08,No
35,17,6,5500,4160.00,2024-02-08,No
36,17,2,5500,590.00,2024-02-08,No
37,18,5,3000,2960.00,2024-02-13,No
38,18,2,3000,12780.00,2024-02-13,Sí
39,18,3,3000,490.00,2024-02-13,No
40,19,,1800,0,2024-02-14,No
41,20,4,7000,5680.00,2024-02-21,No
42,20,5,7000,1960.00,2024-02-21,No
43,20,6,7000,1550.00,2024-02-21,No
44,20,2,7000,1580.00,2024-02-21,No
45,20,3,7000,2410.00,2024-02-21,No
46,21,5,6000,3750.00,2024-02-29,No
47,21,6,6000,4510.00,2024-02-29,No
48,21,2,6000,1550.00,2024-02-29,No
49,21,4,6000,7980.00,2024-02-29,Sí
50,22,6,1800,4160.00,2024-02-05,Sí
51,23,2,5000,13370.00,2024-02-12,Sí
52,23,3,5000,2720.00,2024-02-12,No
53,23,4,5000,1450.00,2024-02-12,No
54,23,5,5000,2960.00,2024-02-12,No
55,24,6,2800,1550.00,2024-02-20,No
56,24,2,2800,1580.00,2024-02-20,No
57,24,3,2800,2410.00,2024-02-20,No
58,24,4,2800,4300.00,2024-02-20,Sí
59,25,4,1400,7980.00,2024-02-25,Sí
60,26,5,8700,1480.00,2024-03-03,No
61,26,6,8700,1360.00,2024-03-03,No
62,26,2,8700,1780.00,2024-03-03,No
63,26,3,8700,2280.00,2024-03-03,No
64,27,3,1600,2720.00,2024-02-08,Sí
65,28,4,4800,1450.00,2024-02-15,No
66,28,5,4800,2960.00,2024-02-15,No
67,28,2,4800,12780.00,2024-02-15,Sí
68,28,3,4800,490.00,2024-02-15,No
69,29,3,6700,2410.00,2024-02-25,No
70,29,4,6700,12280.00,2024-02-25,Sí
71,29,5,6700,2270.00,2024-02-25,No
72,29,6,6700,3150.00,2024-02-25,No
73,29,2,6700,1550.00,2024-02-25,No
74,30,6,1700,1360.00,2024-02-28,No
75,31,,1100,0,2024-03-01,No
76,32,2,4800,1780.00,2024-03-08,No
77,32,3,4800,2280.00,2024-03-08,No
78,32,4,4800,5420.00,2024-03-08,Sí
79,32,5,4800,3800.00,2024-03-08,No
80,32,6,4800,3680.00,2024-03-08,No
81,33,2,2700,1860.00,2024-03-13,No
82,33,3,2700,3500.00,2024-03-13,Sí
83,33,4,2700,4408.00,2024-03-13,Sí
84,34,,1600,0,2024-03-15,No
85,35,5,7500,13340.00,2024-03-22,Sí
86,35,6,7500,5900.00,2024-03-22,No
87,35,2,7500,7350.00,2024-03-22,No
88,35,4,7500,11500.00,2024-03-22,Sí
89,36,5,5200,7800.00,2024-03-30,Sí
90,36,6,5200,4400.00,2024-03-30,No
91,37,,1300,0,2024-03-05,No
92,38,5,9500,3800.00,2024-03-12,No
93,38,6,9500,3680.00,2024-03-12,No
94,38,2,9500,1860.00,2024-03-12,No
95,38,3,9500,3500.00,2024-03-12,No
96,39,5,3300,13340.00,2024-03-20,Sí
97,39,6,3300,5900.00,2024-03-20,Sí
98,39,2,3300,7350.00,2024-03-20,Sí
99,40,,1100,0,2024-03-24,No
100,41,6,9800,4400.00,2024-03-31,No
101,42,6,1800,3680.00,2024-03-08,Sí
102,43,2,5600,1860.00,2024-03-15,No
103,43,3,5600,3500.00,2024-03-15,No
104,43,4,5600,4408.00,2024-03-15,No
105,44,2,6300,7350.00,2024-03-25,Sí
106,44,4,6300,11500.00,2024-03-25,Sí
107,44,5,6300,7800.00,2024-03-25,Sí
108,44,6,6300,4400.00,2024-03-25,No
109,45,,1800,0,2024-03-31,No
110,46,2,1700,1218.00,2024-04-01,No
111,47,3,9500,1721.47,2024-04-08,No
112,47,5,9500,1350.00,2024-04-08,No
113,47,6,9500,255.20,2024-04-08,No
114,47,2,9500,348.00,2024-04-08,No
115,47,4,9500,672.80,2024-04-08,No
116,48,6,2700,342.20,2024-04-13,No
117,48,2,2700,185.60,2024-04-13,No
118,48,3,2700,336.40,2024-04-13,No
119,48,4,2700,371.20,2024-04-13,No
120,49,5,1600,185.60,2024-04-14,No
121,50,6,8800,7140.00,2024-04-21,No
122,50,2,8800,2170.04,2024-04-21,No
123,50,3,8800,1890.00,2024-04-21,No
124,50,4,8800,1680.00,2024-04-21,No
125,50,5,8800,1050.00,2024-04-21,No
126,51,3,5200,400.01,2024-04-28,No
127,51,4,5200,830.00,2024-04-28,No
128,51,5,5200,780.00,2024-04-28,No
129,51,6,5200,4140.00,2024-04-28,No
130,51,2,5200,3990.00,2024-04-28,No
131,52,6,1900,255.20,2024-04-05,No
132,53,2,8700,533.60,2024-04-12,No
133,53,3,8700,522.00,2024-04-12,No
134,53,4,8700,672.80,2024-04-12,No
135,53,5,8700,1009.20,2024-04-12,No
136,53,6,8700,342.20,2024-04-12,No
137,54,3,3900,1890.00,2024-04-20,No
138,54,4,3900,1680.00,2024-04-20,No
139,54,5,3900,1050.00,2024-04-20,No
140,54,6,3900,2240.00,2024-04-20,No
141,55,6,1400,3780.00,2024-04-25,Sí
142,56,2,8500,7685.80,2024-05-02,No
143,56,3,8500,1396.80,2024-05-02,No
144,56,4,8500,560.00,2024-05-02,No
145,56,5,8500,1500.00,2024-05-02,No
146,56,6,8500,2160.00,2024-05-02,No
147,57,4,1800,672.80,2024-04-08,No
148,58,5,7600,1194.80,2024-04-15,No
149,58,6,7600,5242.20,2024-04-15,No
150,58,2,7600,185.60,2024-04-15,No
151,58,3,7600,336.40,2024-04-15,No
152,58,4,7600,371.20,2024-04-15,No
153,59,5,6900,1680.00,2024-04-25,No
154,59,6,6900,6020.00,2024-04-25,No
155,59,2,6900,1120.04,2024-04-25,No
156,59,3,6900,280.01,2024-04-25,No
157,59,4,6900,630.00,2024-04-25,No
158,60,3,1400,720.00,2024-04-30,No
159,60,4,1400,360.00,2024-04-30,No
160,60,5,1400,1350.00,2024-04-30,No
161,60,6,1400,1800.00,2024-04-30,Sí
162,60,2,1400,3400.00,2024-04-30,Sí
163,61,2,1100,295.80,2024-05-01,No
164,62,3,7500,15556.80,2024-05-08,Sí
165,62,4,7500,255.20,2024-05-08,No
166,62,5,7500,348.00,2024-05-08,No
167,62,6,7500,11500.00,2024-05-08,Sí
168,62,2,7500,15000.00,2024-05-08,Sí
169,63,4,3200,5900.00,2024-05-13,Sí
170,63,5,3200,4400.00,2024-05-13,Sí
171,63,6,3200,11500.00,2024-05-13,Sí
172,64,2,1300,11700.00,2024-05-14,Sí
173,65,3,9500,6290.00,2024-05-21,No
174,65,4,9500,2500.00,2024-05-21,No
175,65,5,9500,2108.00,2024-05-21,No
176,65,6,9500,4900.00,2024-05-21,No
177,65,2,9500,1050.00,2024-05-21,No
178,66,4,9000,6080.00,2024-05-28,No
179,66,5,9000,3630.00,2024-05-28,No
180,66,6,9000,6590.00,2024-05-28,No
181,66,2,9000,2250.00,2024-05-28,No
182,66,3,9000,3960.00,2024-05-28,No
183,67,,1100,0,2024-05-05,No
184,68,6,7500,23000.00,2024-05-12,Sí
185,68,2,7500,15000.00,2024-05-12,Sí
186,68,3,7500,15000.00,2024-05-12,Sí
187,68,4,7500,5900.00,2024-05-12,No
188,68,5,7500,4400.00,2024-05-12,No
189,69,5,3800,2108.00,2024-05-20,No
190,69,6,3800,4900.00,2024-05-20,Sí
191,69,2,3800,1050.00,2024-05-20,No
192,69,3,3800,1890.00,2024-05-20,No
193,70,6,1300,2240.00,2024-05-25,Sí
194,70,2,1300,2250.00,2024-05-25,Sí
195,71,3,8500,5920.00,2024-06-01,No
196,71,4,8500,5210.00,2024-06-01,No
197,71,5,8500,1530.00,2024-06-01,No
198,71,6,8500,4350.00,2024-06-01,No
199,71,2,8500,2400.00,2024-06-01,No
200,72,3,1600,15000.00,2024-05-08,Sí
201,73,4,7600,5900.00,2024-05-15,No
202,73,5,7600,4400.00,2024-05-15,No
203,73,6,7600,11500.00,2024-05-15,Sí
204,73,2,7600,11700.00,2024-05-15,Sí
205,73,3,7600,4400.00,2024-05-15,No
206,74,2,9000,3300.00,2024-05-25,No
207,74,3,9000,1890.00,2024-05-25,No
208,74,4,9000,2520.00,2024-05-25,No
209,74,5,9000,2100.00,2024-05-25,No
210,74,6,9000,2240.00,2024-05-25,No
211,75,4,1500,1650.00,2024-05-31,Sí
